GID,tkw,testw,length,width,Hard,Prot,SDS,tkw_scale
284132,52.4,74.8,7.13,3.44,47,15.8,12,-0.287524441
190280,47.5,75.7,7.7,2.97,52,15.7,12,0.420190159
190499,47.3,74.3,7.54,3.01,49,15.6,12,1.820234259
373745,52.85,75.45,7.23,3.325,49,15.5,12,-0.318294641
187603,41.7,73.8,7.43,2.82,54,15.3,12,-1.241400642
375921,44.3,75.3,7.53,2.89,51,15.3,12,-0.795232742
190086,49.3,77.5,7.32,3.16,47,15.3,12,0.143258359
188897,63.4,77,8.01,3.53,60,15.2,12,0.943283559
189708,49.7,79.4,7.2,3.15,53,15.2,12,1.081749459
190213,52.2,78.5,7.39,3.23,49,15.2,12,-0.287524441
375896,55,76.45,7.23,3.385,47,15.1,12,1.943315059
284015,41.3,74.8,7.03,2.98,47,15.1,12,0.758662359
375467,45,73.4,7.32,3.15,49,15,12,-0.010592641
189008,47.2,76.9,7.56,2.95,51,14.9,12,-0.318294641
375645,51.6,78.1,6.75,3.56,41,14.9,12,1.450991859
190073,43.8,76.6,7.18,2.99,57,14.9,12,-0.318294641
283762,46.7,77.6,6.93,3.08,49,14.9,12,2.420253159
375823,41.1,71.5,7.36,2.81,60,14.8,12,0.004792459
190732,44.9,78.2,7.03,3.01,58,14.7,12,-0.610611542
283712,47.6,77.6,6.8,3.29,49,14.6,12,-0.995239042
189188,39.1,74.5,6.68,2.99,58,14.4,12,1.327911059
284222,51.3,77.8,6.76,3.33,50,14.4,12,0.681736859
375952,50.7,76.1,7.78,3.04,58,14.2,12,-0.764462542
375585,54.8,73.8,7.72,3.47,42,14.1,12,0.281724259
190805,38.7,74.3,6.89,2.94,54,13.2,12,1.174060059
374394,51.8,71,7.34,3.31,58,17.6,12.5,-1.287555942
284161,39,67.3,7.27,3.03,56,17.5,12.5,-0.733692342
375509,50.9,70,7.34,3.24,54,17.1,12.5,-1.426021842
374011,46.4,76.8,7.12,3.08,62,16.9,12.5,-0.841388042
373672,41.2,74.1,7.35,2.97,53,16.6,12.5,-0.795232742
283215,42.1,77.2,6.65,3,50,16.4,12.5,0.112488159
374669,47.1,73.5,7.5,3.07,50,16.4,12.5,-1.887574842
190148,38.9,74.9,6.84,2.91,58,16.3,12.5,2.55871906
375847,37.6,70.6,7.23,2.73,56,16.3,12.5,-0.902928442
374718,47.1,76.3,7.31,3.02,53,16,12.5,0.989438859
190089,49.6,77.3,7.15,3.17,58,15.8,12.5,-0.779847642
189840,47.4,75.7,7.53,2.89,53,15.7,12.5,0.281724259
188997,40.1,74.7,6.82,3,58,15.6,12.5,0.866358059
375940,46.6,75.7,7.57,2.96,52,15.6,12.5,-1.241400642
375706,47.95,70.2,7.515,3.1,50,15.6,12.5,-2.026040742
373758,53.5,75.6,7.58,3.31,48,15.6,12.5,-0.702922142
190170,45.9,77,7.49,2.98,52,15.5,12.5,0.958668659
376015,44.2,74.1,7.23,2.99,56,15.4,12.5,-0.502915842
187752,47.5,74,6.97,3.41,52,15.4,12.5,-0.118288341
375727,47.3,77.6,7.12,3.23,49,15.2,12.5,-0.533686042
190403,43,78.1,6.95,3.04,50,15.1,12.5,0.604811359
374546,53.6,77.8,7.65,3.23,52,15,12.5,-1.133704942
376022,46.9,73.9,6.75,3.3,48,14.9,12.5,0.389419959
284291,47.5,79.6,6.94,3.11,52,14.9,12.5,-0.302909541
375397,42.1,74.1,6.95,3.09,49,14.8,12.5,-1.364481442
374662,47.3,73,7.4,3.16,47,14.8,12.5,2.266402159
284328,49.1,77.4,7.27,3.07,58,14.5,12.5,-0.733692342
375943,43.5,74.7,7.44,2.87,58,14.4,12.5,0.835587859
373482,44,71.9,7.22,3.08,57,14.2,12.5,-1.318326142
374062,41.2,71.8,6.87,3.31,50,16.8,13,-0.041362841
189070,35.4,68.1,7.17,2.74,48,16.8,13,-1.533717542
283727,43.2,74.7,7.36,3.04,49,16.6,13,-1.918345042
190561,44.8,78,7.05,3.05,42,16.6,13,0.066332859
375894,42.7,76.3,7.46,2.83,59,16.6,13,-1.610643042
319280,49.2,74.8,7.25,3.28,50,16.5,13,1.158674959
190778,36.7,78.8,6.47,2.93,56,16.4,13,0.404805059
187949,36.3,72,6.94,2.79,57,16.3,13,-0.287524441
187685,36.8,79.4,6.18,3.01,53,16.3,13,-0.441375442
283432,41.5,74,6.68,3.19,46,16.3,13,-0.595226442
283823,36.2,77.1,6.6,2.88,54,16.2,13,1.020209059
283427,40.7,74,7.51,2.9,51,16.2,13,1.004823959
375169,44.1,72,7.38,3.14,50,16.2,13,0.204798759
190757,46,72,7.57,3.02,49,16.2,13,0.512500759
375708,44.4,77.4,7.08,3.12,47,16.1,13,-0.395220141
375939,42.5,72.8,7.15,3.12,51,16,13,1.989470359
375571,46.6,74.9,7.16,3.12,48,15.9,13,-1.456792042
375372,40.3,75.7,6.67,3.09,47,15.9,13,-0.595226442
374382,49.7,79.3,7.23,3.14,51,15.9,13,-1.595257942
375728,43.1,73.7,6.77,3.24,56,15.8,13,-0.318294641
190125,50.1,74.6,7.33,3.08,49,15.8,13,0.712507059
283515,44.4,74.4,7.15,3.22,46,15.8,13,1.050979259
189015,40,74.6,6.8,2.98,61,15.7,13,0.512500759
374197,41.5,73.6,6.98,2.96,53,15.7,13,0.527885859
374937,47.3,77,6.94,3.14,51,15.7,13,0.774047459
284370,47.9,78,7.2,3.08,50,15.7,13,-2.041425842
374665,45.9,74.3,7.59,3.06,51,15.6,13,0.035562659
188190,46.2,79.3,7.02,3.22,49,15.6,13,0.358649759
284251,50,74.1,7.22,3.33,48,15.6,13,-0.672151942
189018,38.2,73.6,7.11,2.83,53,15.4,13,-1.072164542
187803,43,74.3,7.64,2.71,59,15.3,13,1.743308759
2437194,39.1,77.2,6.88,2.95,52,15.3,13,1.143289859
283171,49.9,76.2,7.43,3.12,47,15.2,13,0.835587859
189858,40.8,78.3,6.77,3,54,15.1,13,1.327911059
375538,50.9,76.1,6.97,3.36,51,15.1,13,-0.472145642
284277,47.2,77.3,7.07,3.02,58,15,13,-0.533686042
374158,42.4,75.5,7.4,2.82,56,15,13,0.835587859
190022,44.9,76.5,7.05,3.09,56,14.9,13,0.143258359
375557,52.8,77.7,7.05,3.54,43,14.7,13,0.866358059
189801,46.9,78.4,7.08,3.07,50,14.6,13,0.820202759
283770,46,74.2,7.06,3.26,46,14.6,13,-1.072164542
375742,49.2,79.4,7.21,3.25,59,14.4,13,0.927898459
284309,46.7,73.2,7.43,2.99,58,14.4,13,0.066332859
187772,48.2,71.7,7.56,3.11,57,14.1,13,0.543270959
375934,48.8,74.4,7.55,2.98,56,14.1,13,0.374034859
283279,49.3,74.6,7.56,3.1,49,14,13,-0.656766842
375368,53.8,78.8,7.34,3.3,47,13,13,-1.872189742
373506,44.1,72.7,7.56,2.79,56,17.3,13.5,-0.441375442
189974,43,72.7,7.2,3.01,56,17.1,13.5,-0.718307242
190296,48.2,77,7.32,3.04,49,17.1,13.5,-0.826002942
373656,44.8,74.1,7.44,3.05,52,16.9,13.5,1.112519659
374712,35.9,71.2,6.88,2.84,54,16.5,13.5,-0.010592641
374696,49,74.2,7.35,3.37,51,16.3,13.5,-0.733692342
375883,50.2,73.9,6.97,3.48,49,16.2,13.5,0.681736859
319279,36.6,76.5,6.25,2.99,46,16.2,13.5,-2.056810942
373654,40.1,73.7,7.28,2.96,54,16.2,13.5,-0.841388042
374697,46.9,71.9,7.47,3.24,52,16.1,13.5,-0.179828741
189153,37.4,71.7,6.7,2.94,64,16,13.5,0.620196459
283416,43.8,74,6.87,3.23,43,16,13.5,1.851004459
190037,39.8,76.9,6.9,2.97,53,15.9,13.5,2.297172359
187753,49.6,75.6,7.11,3.47,54,15.6,13.5,-0.625996642
189853,44.3,77.2,7,3,49,15.6,13.5,-1.718338742
284239,38.2,73.2,6.51,3.3,50,15.4,13.5,1.435606759
284265,36.5,72.2,6.74,2.76,58,15.3,13.5,1.697153459
375432,43.8,70.1,7.33,3.115,52,15.3,13.5,1.143289859
190790,50.7,75,7.03,3.39,50,15.3,13.5,0.312494459
284373,46.6,76.7,7.08,3.08,54,15.2,13.5,-1.333711242
283978,44.4,79,6.94,3.14,53,15.2,13.5,0.220183859
187801,49.9,79.3,6.7,3.47,47,15.2,13.5,0.204798759
284080,45.3,76,6.79,3.32,46,15.1,13.5,-0.395220141
188530,46.5,76.5,7.36,2.96,58,15,13.5,0.435575259
375500,54,78.6,7.3,3.47,48,15,13.5,-1.041394342
284334,52.6,77.6,7.19,3.19,56,14.9,13.5,0.112488159
375839,45.1,76.5,7.59,2.87,51,14.8,13.5,-1.241400642
375707,42.4,72.4,7.12,3.08,59,14.7,13.5,1.497147159
188145,49.1,72.8,7.37,3.26,56,14.6,13.5,-0.795232742
187783,48.8,75.3,7.23,3.26,49,14.5,13.5,-0.318294641
284066,57.75,77.05,7.39,3.475,47,14.4,13.5,-0.041362841
188338,41.3,77.4,6.82,2.89,47,14.2,13.5,1.450991859
375965,52.3,78.4,7.63,3.03,58,13.7,13.5,-1.749108942
375465,38.3,68.4,7.355,2.845,50,18.4,14,-0.872158242
189734,41.9,72.1,7.59,2.92,58,18.4,14,-0.702922142
375437,39.9,74.1,7.04,2.93,50,18,14,-0.902928442
190164,37.9,69.1,7.23,2.89,52,17.6,14,-0.733692342
2437258,45.2,70.5,7.63,3.09,58,17.3,14,-1.564487742
284368,43.4,71.4,7.26,3.11,57,17.3,14,-0.518300942
283202,41.4,76.9,6.94,2.88,48,17.2,14,-0.625996642
374616,41.3,73.4,7.01,3.11,49,17,14,-0.118288341
190008,49.5,74.8,7.51,2.94,53,16.9,14,-0.625996642
189881,50.5,76,7.39,3.19,54,16.8,14,0.527885859
190102,43.2,80.2,6.7,2.98,52,16.8,14,1.681768359
375409,51.5,77.9,7.21,3.11,43,16.8,14,0.035562659
374253,47.2,78.6,7.24,3.04,49,16.7,14,-0.364449941
375788,43.6,70.8,7.26,3.2,54,16.7,14,0.450960359
189996,46.1,79.1,7.06,3.07,48,16.6,14,0.266339159
319779,38.15,73.05,6.725,2.99,49,16.6,14,-1.964500342
190794,46.7,74.3,7.29,3.2,48,16.4,14,0.835587859
189400,35.6,69.8,7.01,2.81,53,16.2,14,-1.195245342
373756,47.7,75.3,7.29,3.06,59,16.2,14,-0.887543342
190081,50.8,78.1,7.15,3.23,53,16.2,14,0.174028559
283817,43.6,72.3,7.39,3.1,53,16.2,14,1.327911059
374112,51.4,73.4,7.41,3.23,50,16.2,14,2.035625659
375784,51.2,73.5,7.22,3.48,47,15.9,14,0.974053759
2436999,49.6,73.3,7.66,3.12,47,15.9,14,0.097103059
374537,41.6,77,7.19,2.92,58,15.9,14,-0.902928442
373682,44.8,74.7,6.85,3.26,50,15.9,14,2.112551159
375890,50.5,73.7,7.04,3.44,50,15.8,14,0.127873259
374505,43.1,71.5,6.81,3.26,49,15.8,14,0.374034859
375809,56.95,75.15,7.02,3.67,47,15.8,14,-0.979853942
189964,42.6,74.6,7.3,2.87,58,15.7,14,0.666351759
373734,44.4,76.8,7.05,3.08,56,15.6,14,-0.595226442
190144,39.9,75.5,7.06,2.78,58,15.6,14,0.158643459
187756,47.9,74.4,6.87,3.42,54,15.6,14,0.081717959
284090,50.2,77.3,7.19,3.25,47,15.6,14,0.174028559
283603,51.7,75,7.26,3.39,50,15.5,14,-1.302941042
374568,44.8,79.9,6.59,2.99,49,15.5,14,-1.979885442
375565,46.7,78.7,6.89,3.19,43,15.5,14,-0.779847642
283969,42.1,75.4,6.75,3.21,48,15.4,14,0.943283559
189803,42.3,74.9,7.08,3.06,46,15.4,14,-0.672151942
188134,48.8,75.2,7.1,3.33,60,15.3,14,-0.764462542
190162,44.3,79.5,7.16,3.03,54,15.3,14,-0.287524441
190434,41.4,76.7,7.02,2.96,50,15.3,14,0.127873259
284231,53.3,76.65,6.965,3.525,48,15.3,14,0.250954059
374592,34.5,75.4,6.39,2.93,60,15.2,14,-0.702922142
190046,51.7,76.7,7.43,3.01,53,15.2,14,0.066332859
190252,42.6,75.7,6.89,3.08,52,15.2,14,-0.010592641
374681,45.2,72.9,7.38,3.14,49,15.2,14,0.558656059
284110,49.6,79.3,6.66,3.31,47,15.2,14,0.774047459
375094,45.6,74.3,7.34,3.11,43,15.2,14,0.081717959
375664,53,76.4,7.51,3.39,50,15,14,-0.349064841
189698,40.8,79.9,6.63,3.04,58,14.9,14,-1.318326142
375623,51.45,72.6,7.295,3.365,50,14.5,14,-1.133704942
283431,42,77.6,6.74,3.14,48,14.5,14,0.650966659
187878,48.2,78.5,7.4,2.97,62,14.4,14,0.158643459
283445,51.5,76,7.395,3.21,53,14.4,14,0.943283559
188413,50.9,76.2,7.35,3.39,51,14.3,14,0.604811359
376001,47.6,75.3,7.17,3.25,62,14.1,14,1.420221659
189115,43.9,77.2,7.24,2.88,58,14.1,14,0.297109359
375546,40.5,72.6,6.91,3.02,53,14,14,-0.118288341
187551,49,75.9,7.21,3.41,50,14,14,1.681768359
375421,43.1,70.2,7.14,3.12,56,13.9,14,1.266370659
188105,39.4,75.5,6.88,2.85,58,13.4,14,-1.749108942
187852,33.8,69.6,7.08,2.69,54,18.4,14.5,-1.472177142
189885,39.2,73.1,7.44,2.74,52,17.5,14.5,0.127873259
190769,40.3,71.1,6.86,3.29,47,17.3,14.5,-1.102934742
373629,42.9,72.3,7.38,2.88,54,17,14.5,0.097103059
283752,46.2,74.7,7.52,2.99,56,16.8,14.5,0.066332859
190364,47.1,78.3,7.32,2.97,51,16.7,14.5,-1.056779442
187857,34.9,72.7,7.1,2.74,57,16.4,14.5,0.189413659
188326,39.4,76.3,6.74,2.96,56,16.4,14.5,0.727892159
375550,34.85,69.05,7.165,2.78,58,16.2,14.5,-0.133673441
283677,43.1,73.5,6.9,3.26,47,16.2,14.5,0.420190159
187944,47.9,74.9,6.83,3.42,46,16.2,14.5,0.174028559
375997,47.5,70.6,7.35,3.36,56,16.1,14.5,0.435575259
283754,35.4,74.8,6.62,2.83,58,16,14.5,0.543270959
190035,39.8,78.9,6.69,2.97,53,16,14.5,-0.625996642
188282,40.5,72.7,6.86,3.01,61,15.9,14.5,1.112519659
373571,49.9,76.3,6.66,3.46,48,15.9,14.5,0.358649759
373651,51.8,75.8,7.14,3.47,43,15.8,14.5,-1.549102642
190811,38.3,77,6.73,2.77,59,15.7,14.5,-1.795264242
190064,39.3,74.7,6.92,2.84,53,15.7,14.5,-1.379866542
284247,55.5,75.5,7.12,3.63,52,15.7,14.5,-1.733723842
375513,47.7,75.7,7.08,3.19,50,15.7,14.5,0.081717959
373730,43.5,75.9,6.84,3.25,50,15.6,14.5,-0.210598941
187667,38.6,77.3,6.52,3.07,58,15.5,14.5,-1.426021842
187936,43.5,75.2,6.99,3.2,54,15.5,14.5,-0.656766842
283668,43.2,75.2,6.74,3.05,48,15.5,14.5,0.497115659
187817,57.35,76.65,7.255,3.585,47,15.5,14.5,-0.395220141
374635,48.6,74.3,7.59,3.13,46,15.5,14.5,-0.641381742
375394,41,72.8,6.98,2.73,53,15.4,14.5,-0.395220141
374213,42.4,77.3,6.96,3.05,50,15.3,14.5,-1.379866542
188840,51.4,72.7,7.28,3.45,49,15.3,14.5,-1.364481442
189937,40.4,78.3,6.68,2.96,58,15.2,14.5,-1.364481442
187703,41.6,75.8,6.97,3.12,54,15,14.5,-0.672151942
374476,52.6,79.2,7.38,3.27,56,14.9,14.5,-0.826002942
375553,41.7,76,6.76,3.11,49,14.9,14.5,1.158674959
283656,51.7,78.55,6.885,3.425,47,14.9,14.5,0.020177559
375949,44.5,75.3,7.19,2.96,58,14.9,14.5,-1.256785742
189979,45.3,79.5,7.06,3.01,53,14.8,14.5,0.358649759
188532,55.2,76.9,7.64,3.16,60,14.7,14.5,0.097103059
375735,45.5,75.1,7.35,3.02,53,14.6,14.5,0.374034859
376000,41.7,74.5,6.81,3.15,58,14.4,14.5,-0.733692342
375954,41.9,76.3,6.6,3.21,58,14.3,14.5,0.035562659
188378,42.3,78.6,6.73,2.97,54,13.3,14.5,-0.518300942
373739,38.3,77.6,6.52,2.83,51,13.2,14.5,0.666351759
2437250,38.75,65.1,7.275,3.155,58,20.4,15,0.066332859
375471,37.4,70.1,6.75,2.86,53,19.7,15,0.066332859
373726,33.1,74.5,6.22,2.93,53,17.6,15,-0.656766842
283145,36.8,73.1,6.43,3.05,49,17.5,15,1.697153459
187879,37,67.5,7.43,2.83,56,17.3,15,1.450991859
283579,42.8,70.6,7.24,3.18,50,17.2,15,1.050979259
283182,35.9,75.9,6.22,2.82,51,17.2,15,0.512500759
187842,36.8,73.2,6.93,2.75,58,17.1,15,0.527885859
188292,37,70.8,7.21,2.71,55,17.1,15,-0.949083742
373769,53.2,75.2,7.51,3.31,49,17.1,15,-1.902959942
336782,34.4,72.5,6.91,2.86,58,17,15,1.050979259
283120,44.7,74.3,7.57,2.84,51,16.9,15,-0.395220141
373675,42.35,70.3,7.64,2.76,52,16.8,15,0.866358059
283166,48.5,72.7,6.9,3.15,50,16.8,15,-0.687537042
284162,39.1,70.5,6.84,3.05,53,16.6,15,0.343264659
375288,45,71.3,7.25,3.23,51,16.6,15,1.081749459
374001,45.7,77.4,7.24,2.95,58,16.5,15,-0.533686042
189932,50,75.5,7.59,3.03,54,16.5,15,-1.041394342
189955,50.4,74.9,7.53,3.2,48,16.4,15,1.158674959
189977,49.4,77.7,7.25,3.05,51,16.3,15,-0.795232742
188780,39.1,73.9,6.78,2.96,60,16.2,15,-0.979853942
190190,45,75.5,7.42,2.97,58,16.2,15,0.312494459
283989,44.3,73.9,7.37,3.02,53,16.2,15,-1.241400642
319781,55.5,74.3,7.11,3.55,46,16.2,15,-1.102934742
190819,40.9,76.2,7.2,2.82,58,16.1,15,-1.456792042
375802,47.8,73.1,7.57,3.01,52,16.1,15,-0.749077442
374339,47.1,78.8,7.21,3.15,58,16,15,-0.087518141
374632,42.9,75.9,7.01,3.04,56,15.9,15,-1.056779442
375569,39.3,71.1,7.14,3.01,50,15.9,15,-1.056779442
187919,48.9,78.5,6.79,3.44,47,15.9,15,-0.364449941
375781,50.9,77.6,6.92,3.24,46,15.8,15,-0.702922142
373743,57.6,73.6,7.45,3.485,52,15.7,15,-1.764494042
376034,45.6,73.3,7.14,3.17,48,15.6,15,-2.164506642
375474,46.7,75.6,7.04,3.02,42,15.6,15,-1.979885442
190069,37.7,76.9,6.71,2.86,57,15.5,15,-0.149058541
284248,51.2,68.4,7.71,3.32,52,15.5,15,-0.118288341
189030,36.4,74.4,6.9,2.82,49,15.5,15,1.174060059
189637,40.5,76.8,7.33,2.86,58,15.4,15,-0.518300942
375695,34.5,67.1,7.22,2.795,66,15.3,15,0.927898459
189928,45.6,79.2,6.84,3.09,54,15.3,15,-0.979853942
376002,42.5,75.2,6.27,3.29,53,15.3,15,-1.779879142
283760,52.6,74.2,7.61,3.33,52,15.3,15,0.974053759
375376,41.9,74,6.94,2.98,52,15.3,15,0.097103059
188225,52.8,74.4,7.22,3.46,59,15.2,15,1.112519659
188156,50.5,75.6,6.94,3.39,59,15.2,15,0.927898459
190103,37.7,78.1,6.63,2.97,54,15.2,15,1.589457759
375560,39.8,73.6,6.74,3.12,52,15.2,15,1.127904759
188930,43.1,77.8,7,2.93,59,15.1,15,1.204830259
373744,53.2,73.5,7.2,3.39,53,15.1,15,0.974053759
375551,39.9,73,6.86,3.03,52,15.1,15,1.727923659
187583,40.6,73.4,7.16,2.8,49,15.1,15,1.174060059
375503,56.1,77.3,7.15,3.48,43,15.1,15,1.866389559
187765,53.3,75.9,7.17,3.47,53,15,15,0.297109359
187730,49.4,75.2,7.37,3.19,53,15,15,0.604811359
375597,53.45,77.9,6.98,3.45,46,15,15,-1.733723842
375590,48.4,77.3,6.65,3.43,46,15,15,0.004792459
284164,53.3,77.4,7.48,3.19,42,15,15,-0.872158242
188822,50.5,78.2,7.34,3.1,58,14.9,15,0.497115659
283715,41.2,75.8,6.64,3.03,46,14.9,15,0.543270959
189267,49.5,77.6,7.23,3.2,59,14.8,15,-0.979853942
188540,48.4,75.6,7.28,3.12,52,14.8,15,0.466345459
375607,44.3,75.4,6.96,3.18,48,14.8,15,-0.610611542
188541,41.8,71.9,7.19,3.01,59,14.7,15,-0.779847642
373777,38.4,73.7,6.88,2.82,52,14.7,15,0.620196459
373764,46.1,77.9,6.75,3.17,46,14.7,15,0.404805059
373733,43.7,77.1,6.51,3.21,60,14.6,15,0.250954059
374715,39.5,72.1,6.93,3.09,54,14.6,15,1.266370659
188436,47.8,77.9,6.81,3.39,53,14.6,15,1.743308759
283201,46,71.9,7.32,3.12,50,14.6,15,1.281755759
374678,43.2,76.1,7.06,3.06,53,14.5,15,1.681768359
190199,45.6,80.2,7.11,3.07,52,14.5,15,1.650998159
188316,40.9,70.5,7.12,2.96,62,14.4,15,-1.533717542
189759,47.2,78.5,6.72,3.19,54,14.4,15,-1.256785742
187543,50.1,71.6,7.43,3.3,60,14.3,15,1.450991859
188379,49.3,77.9,6.94,3.39,51,14.3,15,1.589457759
375998,56.65,76.2,7.235,3.515,48,14.3,15,-1.056779442
373481,36.6,75.9,6.56,2.78,53,13.7,15,0.220183859
188375,41.1,77.2,6.53,2.93,58,13.2,15,1.266370659
189302,36.1,70.3,7.16,2.72,57,17.1,15.1,1.374066359
374595,38.3,72.1,7.03,3,56,18.6,15.5,2.466408459
308211,39.1,74.1,6.58,3.22,49,18.4,15.5,-0.518300942
187819,34,73.9,6.68,2.7,57,18.1,15.5,-1.118319842
373578,43.2,73.6,6.69,3.28,51,17.9,15.5,-0.625996642
374912,44.2,76.3,7.13,2.98,57,17.7,15.5,1.927929959
188267,38,74.5,6.45,3.16,53,17.6,15.5,0.758662359
376032,49.65,68.05,7.885,3.08,53,17.3,15.5,0.204798759
374533,38.2,76,6.75,3.02,47,17.3,15.5,1.343296159
190163,42,74.7,7.32,2.86,53,17.2,15.5,-0.502915842
187863,42.6,73.6,6.89,3.23,50,17.1,15.5,0.312494459
190787,39.8,74.5,6.59,3.19,47,16.9,15.5,-0.702922142
188972,36.8,75.3,6.81,2.85,59,16.8,15.5,-1.241400642
375705,42.65,66.6,7.61,3.135,58,16.8,15.5,-0.979853942
188667,51.1,76,7.57,3.13,57,16.8,15.5,-0.087518141
187653,40,68.5,7.12,3.1,52,16.8,15.5,-0.902928442
189833,46.8,79.2,7.08,3.11,42,16.8,15.5,-0.779847642
189028,40,72.1,7.12,2.87,61,16.7,15.5,-0.518300942
190472,42.65,65.5,7.675,3.145,53,16.6,15.5,0.050947759
